[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.000506s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.000480s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000259s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.000788s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002315s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.000491s ]
[ 2014-10-23T15:36:41+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.000562s ]
[ 2014-10-23T15:36:41+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:41+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:41+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:41+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.000693s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.000815s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000542s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.001743s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002538s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: type MemberAction.class.php 第 24 行.
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: auth MemberAction.class.php 第 25 行.
